x_mm,y_mm,z_mm,value_normalized,raw_max_j_m3
-2.2031,3.8159,8.8414,2.521925e-05,2.659363e-04
-2.2031,-3.8159,8.8414,2.467348e-05,2.659363e-04
-4.4063,0.0000,8.8414,3.182215e-05,2.659363e-04
4.4063,-0.0000,8.8414,3.240753e-05,2.659363e-04
2.2031,-3.8159,8.8414,2.550717e-05,2.659363e-04
2.2031,3.8159,8.8414,2.463723e-05,2.659363e-04
3.3940,-1.9595,7.7913,2.226946e-05,2.659363e-04
3.3940,1.9595,7.7913,2.200472e-05,2.659363e-04
-3.3940,-1.9595,7.7913,2.181776e-05,2.659363e-04
-3.3940,1.9595,7.7913,2.195082e-05,2.659363e-04
-0.0000,-3.9191,7.7913,1.904702e-05,2.659363e-04
0.0000,3.9191,7.7913,1.894998e-05,2.659363e-04
0.8932,-1.5470,106.0184,2.191475e-07,2.659363e-04
-1.7863,0.0000,106.0184,2.779742e-07,2.659363e-04
0.8932,0.0000,106.0184,2.418843e-07,2.659363e-04
-0.4466,0.7735,106.0184,2.378878e-07,2.659363e-04
-3.3940,5.8786,8.6633,2.533988e-05,2.659363e-04
-3.3940,-5.8786,8.6633,2.406600e-05,2.659363e-04
-6.7880,0.0000,8.6633,3.966213e-05,2.659363e-04
6.7880,-0.0000,8.6633,4.079565e-05,2.659363e-04
3.3940,-5.8786,8.6633,2.549242e-05,2.659363e-04
3.3940,5.8786,8.6633,2.365255e-05,2.659363e-04
2.6795,0.0000,100.6595,6.028395e-06,2.659363e-04
0.4466,-0.7735,101.9992,2.889238e-06,2.659363e-04
2.6795,-3.0940,100.6595,5.703210e-06,2.659363e-04
0.4466,-3.8675,101.9992,2.818240e-06,2.659363e-04
2.9772,-8.2507,15.3638,1.040472e-04,2.659363e-04
5.6567,-6.7037,15.3638,8.847135e-05,2.659363e-04
-5.6567,6.7037,15.3638,8.952080e-05,2.659363e-04
-2.9772,8.2507,15.3638,9.854467e-05,2.659363e-04
-8.6339,-1.5470,15.3638,1.054842e-04,2.659363e-04
-8.6339,1.5470,15.3638,1.022780e-04,2.659363e-04
2.9772,8.2507,15.3638,1.000648e-04,2.659363e-04
